,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
3139.72,41.12244,3139.72,92.36751,3139.72,55.82115,3139.72,69.71418,3139.72,71.60233,3139.72,174.18856
3138.5,39.69293,3138.5,87.45074,3138.5,42.8481,3138.5,73.9124,3138.5,67.98819,3138.5,177.4897
3137.28,31.69321,3137.28,82.89814,3137.28,40.96364,3137.28,83.60696,3137.28,56.90202,3137.28,178.38069
3136.06,31.70599,3136.06,87.01728,3136.06,24.25118,3136.06,91.31483,3136.06,51.88857,3136.06,186.12974
3134.84,23.05476,3134.84,76.39716,3134.84,18.51245,3134.84,94.89731,3134.84,47.12596,3134.84,187.4912
3133.62,33.11469,3133.62,78.0143,3133.62,6.93283,3133.62,103.8823,3133.62,57.46177,3133.62,187.14991
3132.4,37.73143,3132.4,81.67081,3132.4,5.46451,3132.4,107.78892,3132.4,68.1012,3132.4,196.70675
3131.17,40.02833,3131.17,81.48815,3131.17,4.20432,3131.17,110.74785,3131.17,77.23142,3131.17,188.01995
3129.95,40.42198,3129.95,86.67586,3129.95,-10.74901,3129.95,121.1625,3129.95,71.4423,3129.95,196.55828
3128.73,44.41808,3128.73,87.16277,3128.73,-21.20716,3128.73,135.86974,3128.73,74.49876,3128.73,196.38357
3127.51,58.90847,3127.51,87.79512,3127.51,-21.39697,3127.51,143.98447,3127.51,79.46467,3127.51,202.49108
3126.28,69.01672,3126.28,88.37887,3126.28,-16.63098,3126.28,149.35877,3126.28,92.12374,3126.28,212.60082
3125.06,83.35346,3125.06,87.34579,3125.06,-5.21666,3125.06,155.94395,3125.06,91.34618,3125.06,224.6868
3123.84,98.74199,3123.84,94.25013,3123.84,-4.1892,3123.84,158.07697,3123.84,99.56873,3123.84,237.55384
3122.61,104.56239,3122.61,86.21179,3122.61,-2.79248,3122.61,162.67569,3122.61,103.26667,3122.61,244.77589
3121.39,111.56946,3121.39,87.55226,3121.39,17.12596,3121.39,165.1634,3121.39,112.18523,3121.39,263.67971
3120.17,130.76121,3120.17,86.28415,3120.17,24.9229,3120.17,178.42795,3120.17,116.6018,3120.17,284.06104
3118.94,132.3815,3118.94,91.4269,3118.94,40.21767,3118.94,189.8103,3118.94,133.17865,3118.94,301.45684
3117.72,133.33555,3117.72,103.73929,3117.72,49.64177,3117.72,188.44407,3117.72,132.84583,3117.72,331.97962
3116.5,133.46069,3116.5,102.39441,3116.5,50.60658,3116.5,198.04866,3116.5,140.90469,3116.5,345.85101
3115.27,128.08965,3115.27,109.34593,3115.27,47.71765,3115.27,211.17946,3115.27,154.36498,3115.27,365.11043
3114.05,131.71401,3114.05,106.73188,3114.05,48.61159,3114.05,212.2498,3114.05,161.56754,3114.05,388.01233
3112.82,130.84624,3112.82,111.27429,3112.82,52.05932,3112.82,229.05806,3112.82,168.6946,3112.82,407.59069
3111.6,134.95185,3111.6,108.66552,3111.6,50.06787,3111.6,233.6049,3111.6,181.12013,3111.6,427.37687
3110.37,132.29897,3110.37,100.46306,3110.37,55.31252,3110.37,229.69371,3110.37,185.32425,3110.37,439.39307
3109.14,136.81498,3109.14,103.6481,3109.14,51.15353,3109.14,221.17527,3109.14,195.84528,3109.14,459.81876
3107.92,131.18049,3107.92,108.99537,3107.92,61.70483,3107.92,227.34647,3107.92,200.88364,3107.92,471.53876
3106.69,127.23566,3106.69,116.59582,3106.69,52.53665,3106.69,225.86352,3106.69,208.7996,3106.69,481.46274
