,"Treated P1",,"Treated P2",,"Treated P3",,"Untreated 1",,"Untreated 2",,"Untreated 3"
2567.57,85.14523,2567.57,195.61506,2567.57,142.33567,2567.57,111.47391,2567.57,157.25553,2567.57,113.38833
2566.25,89.96702,2566.25,180.27147,2566.25,140.13027,2566.25,116.54018,2566.25,157.5025,2566.25,113.94428
2564.93,88.48433,2564.93,182.30665,2564.93,134.39521,2564.93,113.78355,2564.93,158.84229,2564.93,114.27188
2563.61,100.69757,2563.61,183.53977,2563.61,126.26481,2563.61,114.0894,2563.61,161.2095,2563.61,110.77928
2562.29,103.15048,2562.29,175.27417,2562.29,123.56992,2562.29,115.83711,2562.29,155.90258,2562.29,111.17957
2560.97,102.87924,2560.97,174.53768,2560.97,121.29095,2560.97,112.08806,2560.97,155.81715,2560.97,108.62979
2559.65,101.07495,2559.65,174.95909,2559.65,116.80694,2559.65,110.28165,2559.65,157.58964,2559.65,109.88659
2558.33,104.83282,2558.33,166.88219,2558.33,105.69606,2558.33,112.83383,2558.33,151.35267,2558.33,108.16006
2557.01,109.93097,2557.01,157.63443,2557.01,102.12471,2557.01,113.11979,2557.01,156.06551,2557.01,95.53253
2555.69,106.54696,2555.69,149.39011,2555.69,95.12382,2555.69,102.8422,2555.69,149.99366,2555.69,90.16303
2554.37,97.29888,2554.37,143.05377,2554.37,82.95699,2554.37,98.90443,2554.37,137.73736,2554.37,97.75195
2553.05,95.34571,2553.05,143.45789,2553.05,79.24738,2553.05,89.81899,2553.05,127.93652,2553.05,102.80628
2551.73,98.92744,2551.73,138.43211,2551.73,77.16515,2551.73,90.87958,2551.73,123.76394,2551.73,96.04036
2550.41,108.04565,2550.41,128.69777,2550.41,79.76817,2550.41,91.52155,2550.41,117.4469,2550.41,93.29367
2549.09,96.21991,2549.09,132.0675,2549.09,83.13894,2549.09,88.6118,2549.09,111.30712,2549.09,91.52497
2547.76,88.70396,2547.76,118.13214,2547.76,81.8182,2547.76,92.58575,2547.76,113.37647,2547.76,95.52969
2546.44,97.53955,2546.44,122.05307,2546.44,76.74808,2546.44,103.6306,2546.44,107.07877,2546.44,101.34914
2545.12,90.20212,2545.12,130.13411,2545.12,67.77742,2545.12,95.31329,2545.12,109.52754,2545.12,102.89201
2543.8,81.58365,2543.8,132.05438,2543.8,69.67143,2543.8,103.14686,2543.8,114.42743,2543.8,100.99544
2542.47,75.99371,2542.47,129.63359,2542.47,69.89734,2542.47,104.44327,2542.47,115.33264,2542.47,105.85641
2541.15,67.15959,2541.15,136.03246,2541.15,59.90226,2541.15,107.03371,2541.15,124.48469,2541.15,97.38577
2539.83,68.47746,2539.83,124.65243,2539.83,68.12176,2539.83,116.31096,2539.83,121.88168,2539.83,94.8283
2538.5,63.07829,2538.5,126.72962,2538.5,70.93456,2538.5,114.80726,2538.5,128.15345,2538.5,94.06299
2537.18,62.00397,2537.18,125.8629,2537.18,77.21468,2537.18,114.70272,2537.18,121.89661,2537.18,90.05671
2535.86,59.68491,2535.86,129.40807,2535.86,84.8924,2535.86,117.3761,2535.86,117.09829,2535.86,88.64034
2534.53,57.04147,2534.53,137.32829,2534.53,80.85135,2534.53,110.27117,2534.53,124.02702,2534.53,82.00522
2533.21,59.3887,2533.21,138.60877,2533.21,75.21567,2533.21,113.52787,2533.21,128.81085,2533.21,89.77074
2531.88,67.30502,2531.88,131.13496,2531.88,76.33168,2531.88,118.89587,2531.88,130.58817,2531.88,82.81631
2530.56,68.86919,2530.56,131.87908,2530.56,83.10659,2530.56,115.5145,2530.56,146.65585,2530.56,86.00189
2529.23,61.92311,2529.23,133.01575,2529.23,90.59569,2529.23,112.14909,2529.23,146.47804,2529.23,97.78436
2527.91,58.75705,2527.91,143.84424,2527.91,96.15307,2527.91,106.71266,2527.91,142.84211,2527.91,101.25198
2526.58,70.29992,2526.58,156.73637,2526.58,96.07018,2526.58,96.49653,2526.58,149.10308,2526.58,100.22384
2525.26,75.58542,2525.26,150.96085,2525.26,95.36671,2525.26,94.20293,2525.26,150.66113,2525.26,102.8911
2523.93,74.04164,2523.93,153.85032,2523.93,97.89651,2523.93,98.67013,2523.93,147.05218,2523.93,108.33268
2522.61,61.41913,2522.61,164.424,2522.61,98.62403,2522.61,91.64056,2522.61,140.06047,2522.61,112.97005
2521.28,60.92935,2521.28,166.71518,2521.28,94.39567,2521.28,85.53428,2521.28,142.21694,2521.28,110.81886
2519.95,67.11866,2519.95,176.39718,2519.95,88.50383,2519.95,90.26832,2519.95,136.39148,2519.95,105.6557
2518.63,64.11861,2518.63,182.64578,2518.63,81.82654,2518.63,85.30777,2518.63,133.88791,2518.63,99.92533
2517.3,58.7319,2517.3,180.84203,2517.3,76.34094,2517.3,91.02699,2517.3,128.56642,2517.3,91.76393
2515.97,53.45878,2515.97,170.25375,2515.97,69.99785,2515.97,88.52533,2515.97,123.08058,2515.97,85.69066
2514.64,49.88021,2514.64,167.157,2514.64,67.08646,2514.64,99.60587,2514.64,123.31884,2514.64,85.69717
2513.32,53.22099,2513.32,160.64719,2513.32,73.82397,2513.32,102.35559,2513.32,113.03996,2513.32,89.21742
2511.99,50.98764,2511.99,148.24344,2511.99,68.36546,2511.99,103.30831,2511.99,105.69183,2511.99,88.36343
2510.66,49.3401,2510.66,146.60235,2510.66,64.51197,2510.66,104.93985,2510.66,90.12744,2510.66,81.10583
2509.33,58.92041,2509.33,134.73403,2509.33,56.42945,2509.33,107.57212,2509.33,87.78241,2509.33,82.38491
2508,58.17227,2508,126.26931,2508,53.85134,2508,107.54567,2508,88.00317,2508,87.34948
2506.67,64.64909,2506.67,119.81077,2506.67,57.76094,2506.67,117.04478,2506.67,89.89936,2506.67,88.52205
2505.34,69.46987,2505.34,113.74394,2505.34,66.68108,2505.34,125.38297,2505.34,90.32743,2505.34,87.60921
2504.01,69.49016,2504.01,107.97925,2504.01,67.40295,2504.01,128.41458,2504.01,96.00675,2504.01,91.39278
2502.68,67.94983,2502.68,104.33939,2502.68,71.66359,2502.68,134.00407,2502.68,92.52092,2502.68,90.10004
2501.35,71.24987,2501.35,107.60915,2501.35,70.0062,2501.35,127.62954,2501.35,92.325,2501.35,94.34801
2500.02,69.00356,2500.02,105.10941,2500.02,71.15504,2500.02,127.02513,2500.02,94.43961,2500.02,99.91887
2498.69,64.69541,2498.69,101.57624,2498.69,85.27447,2498.69,130.2937,2498.69,100.80265,2498.69,107.3084
2497.36,57.41768,2497.36,112.98847,2497.36,89.83087,2497.36,129.48814,2497.36,99.84328,2497.36,107.49439
2496.03,48.20988,2496.03,106.34862,2496.03,93.95445,2496.03,119.62638,2496.03,104.28887,2496.03,104.93578
2494.7,51.87492,2494.7,112.62696,2494.7,97.62732,2494.7,126.57214,2494.7,107.37158,2494.7,94.8798
2493.37,54.80256,2493.37,117.65296,2493.37,96.48903,2493.37,129.02832,2493.37,111.53057,2493.37,88.81946
2492.04,57.33247,2492.04,118.27544,2492.04,90.41655,2492.04,118.75578,2492.04,125.65907,2492.04,87.01906
2490.71,58.07495,2490.71,114.43595,2490.71,85.38482,2490.71,113.75996,2490.71,124.04863,2490.71,78.16102
2489.38,54.63329,2489.38,113.78307,2489.38,86.00872,2489.38,115.47608,2489.38,125.83728,2489.38,83.44091
2488.04,55.23914,2488.04,125.5361,2488.04,86.42205,2488.04,113.08738,2488.04,134.36296,2488.04,96.9777
2486.71,65.7663,2486.71,125.36627,2486.71,87.16071,2486.71,105.4414,2486.71,141.93726,2486.71,96.68438
2485.38,63.53757,2485.38,121.02895,2485.38,80.31896,2485.38,104.55353,2485.38,145.67561,2485.38,103.27433
2484.04,68.96884,2484.04,128.2674,2484.04,74.90992,2484.04,100.83072,2484.04,140.84629,2484.04,102.79142
2482.71,81.14249,2482.71,127.29877,2482.71,75.12494,2482.71,101.18859,2482.71,140.39703,2482.71,104.06111
2481.38,81.44565,2481.38,126.39493,2481.38,78.15378,2481.38,105.13302,2481.38,138.34014,2481.38,108.78819
2480.04,87.50588,2480.04,128.63415,2480.04,76.77999,2480.04,104.05538,2480.04,136.76458,2480.04,102.40354
2478.71,80.37885,2478.71,125.46776,2478.71,76.53203,2478.71,107.82961,2478.71,128.17161,2478.71,100.95716
2477.38,81.83563,2477.38,116.61568,2477.38,64.40266,2477.38,109.03059,2477.38,122.50023,2477.38,102.52179
2476.04,80.37876,2476.04,121.66883,2476.04,65.93877,2476.04,109.4601,2476.04,117.40769,2476.04,105.93606
2474.71,78.10663,2474.71,124.29764,2474.71,65.93155,2474.71,107.44056,2474.71,114.59928,2474.71,113.81074
2473.37,67.11663,2473.37,125.08142,2473.37,75.01419,2473.37,104.90894,2473.37,117.86063,2473.37,113.9634
2472.04,65.73828,2472.04,126.69778,2472.04,76.53785,2472.04,103.88193,2472.04,120.45462,2472.04,115.47346
2470.7,56.42034,2470.7,131.43172,2470.7,72.57765,2470.7,104.96032,2470.7,114.36863,2470.7,108.63236
2469.37,54.71189,2469.37,129.9327,2469.37,73.25488,2469.37,111.69014,2469.37,113.0774,2469.37,97.55304
2468.03,57.16278,2468.03,147.95939,2468.03,68.37876,2468.03,117.89345,2468.03,116.30326,2468.03,100.75317
2466.7,52.93506,2466.7,161.20812,2466.7,69.40173,2466.7,112.26353,2466.7,117.76957,2466.7,98.3662
2465.36,49.84237,2465.36,160.32402,2465.36,63.61704,2465.36,112.24274,2465.36,118.55939,2465.36,104.99021
2464.02,50.25872,2464.02,162.25563,2464.02,62.11364,2464.02,120.65644,2464.02,107.97221,2464.02,106.11415
2462.69,45.22989,2462.69,165.7844,2462.69,64.31535,2462.69,127.179,2462.69,122.3155,2462.69,114.62508
2461.35,56.5489,2461.35,174.05001,2461.35,68.04791,2461.35,123.94023,2461.35,132.69889,2461.35,124.72396
2460.01,69.48099,2460.01,177.13055,2460.01,72.83403,2460.01,126.25036,2460.01,142.56266,2460.01,126.43057
2458.68,76.12447,2458.68,180.57226,2458.68,70.58583,2458.68,133.68311,2458.68,141.50338,2458.68,137.11475
2457.34,79.57422,2457.34,180.99306,2457.34,68.95506,2457.34,136.69151,2457.34,141.88633,2457.34,137.22699
2456,86.57235,2456,172.91704,2456,70.00865,2456,142.39379,2456,145.28457,2456,139.92902
2454.66,89.91408,2454.66,162.22531,2454.66,64.23761,2454.66,141.00678,2454.66,150.38037,2454.66,142.65049
2453.32,90.65293,2453.32,160.22037,2453.32,65.50535,2453.32,138.49843,2453.32,155.06609,2453.32,140.35452
2451.98,75.10016,2451.98,156.13521,2451.98,61.8481,2451.98,142.67286,2451.98,151.5598,2451.98,139.84597
2450.65,76.212,2450.65,158.03889,2450.65,57.18453,2450.65,141.06596,2450.65,147.74745,2450.65,143.38385
2449.31,77.82027,2449.31,159.2881,2449.31,67.71264,2449.31,142.09576,2449.31,150.59373,2449.31,140.54734
2447.97,78.84593,2447.97,156.18857,2447.97,78.09217,2447.97,142.33756,2447.97,158.55189,2447.97,138.87527
2446.63,68.28747,2446.63,158.85441,2446.63,82.9557,2446.63,135.98981,2446.63,160.78202,2446.63,138.57145
2445.29,67.5862,2445.29,162.13546,2445.29,79.35317,2445.29,142.72018,2445.29,154.44937,2445.29,132.00922
2443.95,60.97002,2443.95,171.06871,2443.95,80.54026,2443.95,145.22696,2443.95,153.6859,2443.95,122.34754
2442.61,59.03065,2442.61,173.32213,2442.61,85.48323,2442.61,146.58312,2442.61,152.39444,2442.61,115.06058
2441.27,57.31248,2441.27,182.32276,2441.27,87.76441,2441.27,140.56805,2441.27,147.71045,2441.27,125.42924
2439.93,61.36591,2439.93,184.77168,2439.93,94.08458,2439.93,133.30889,2439.93,140.10565,2439.93,124.04912
2438.59,63.10376,2438.59,171.34341,2438.59,91.46729,2438.59,133.27159,2438.59,142.34759,2438.59,131.65094
2437.25,64.57488,2437.25,167.64947,2437.25,95.89595,2437.25,130.77611,2437.25,146.85338,2437.25,139.12486
2435.9,70.08788,2435.9,160.52646,2435.9,101.60756,2435.9,124.65566,2435.9,153.29071,2435.9,141.60104
2434.56,78.60269,2434.56,159.06978,2434.56,102.85373,2434.56,111.00905,2434.56,155.23879,2434.56,156.81873
2433.22,77.58217,2433.22,158.87877,2433.22,107.34274,2433.22,110.02949,2433.22,149.41025,2433.22,159.56501
2431.88,82.387,2431.88,153.58925,2431.88,109.92473,2431.88,107.1955,2431.88,145.82217,2431.88,168.30448
2430.54,79.16266,2430.54,143.26125,2430.54,111.28363,2430.54,103.8536,2430.54,146.3115,2430.54,168.12706
2429.19,79.96296,2429.19,136.68086,2429.19,107.23459,2429.19,105.81987,2429.19,142.35215,2429.19,172.26187
2427.85,78.09271,2427.85,142.70131,2427.85,103.25781,2427.85,104.60689,2427.85,150.16892,2427.85,168.00221
2426.51,67.50115,2426.51,146.4712,2426.51,113.07646,2426.51,104.46873,2426.51,148.62267,2426.51,167.59603
2425.17,56.38574,2425.17,143.05619,2425.17,109.50452,2425.17,104.00038,2425.17,144.75433,2425.17,163.5306
2423.82,57.96345,2423.82,141.25326,2423.82,113.64719,2423.82,102.23842,2423.82,147.31711,2423.82,162.60718
2422.48,59.52649,2422.48,133.31643,2422.48,118.60813,2422.48,99.67713,2422.48,150.56517,2422.48,156.62648
2421.13,57.43349,2421.13,133.36014,2421.13,118.43146,2421.13,100.02033,2421.13,149.12316,2421.13,156.46875
2419.79,51.33374,2419.79,133.97594,2419.79,117.42846,2419.79,103.78131,2419.79,145.60812,2419.79,155.96467
2418.45,57.49358,2418.45,131.24345,2418.45,101.63986,2418.45,111.71381,2418.45,142.08956,2418.45,146.41275
2417.1,59.19575,2417.1,128.20861,2417.1,93.62369,2417.1,110.28681,2417.1,143.51499,2417.1,140.14462
2415.76,58.97066,2415.76,123.99889,2415.76,86.64047,2415.76,112.63926,2415.76,138.31696,2415.76,133.15996
2414.41,63.69986,2414.41,121.53028,2414.41,89.84256,2414.41,109.0069,2414.41,137.16063,2414.41,128.62177
2413.07,71.14509,2413.07,118.19622,2413.07,85.53444,2413.07,106.58038,2413.07,136.16342,2413.07,127.13059
2411.72,61.49649,2411.72,116.65324,2411.72,85.64391,2411.72,108.82359,2411.72,130.07506,2411.72,125.22146
2410.37,54.99061,2410.37,108.45644,2410.37,81.82765,2410.37,101.70091,2410.37,123.43896,2410.37,125.54035
2409.03,60.9769,2409.03,102.50846,2409.03,79.2942,2409.03,98.73835,2409.03,113.69439,2409.03,115.6808
2407.68,58.94673,2407.68,100.17855,2407.68,77.42386,2407.68,94.01644,2407.68,106.12912,2407.68,115.76341
2406.34,57.06704,2406.34,108.15258,2406.34,83.45948,2406.34,94.84965,2406.34,92.47893,2406.34,106.28622
2404.99,63.4651,2404.99,110.17952,2404.99,84.46929,2404.99,95.75064,2404.99,90.40645,2404.99,105.21149
2403.64,57.05085,2403.64,107.22355,2403.64,80.05359,2403.64,100.34747,2403.64,87.239,2403.64,101.11797
2402.29,56.08524,2402.29,109.42636,2402.29,81.76277,2402.29,102.60899,2402.29,87.29131,2402.29,99.3959
2400.95,51.46975,2400.95,107.49233,2400.95,82.71867,2400.95,103.02861,2400.95,91.67073,2400.95,99.06207
2399.6,48.63979,2399.6,96.13044,2399.6,87.72619,2399.6,96.61683,2399.6,86.73822,2399.6,95.12924
2398.25,51.44239,2398.25,89.43577,2398.25,82.25904,2398.25,91.90051,2398.25,91.66315,2398.25,98.63545
2396.9,58.73086,2396.9,89.38627,2396.9,83.25438,2396.9,87.76147,2396.9,89.28722,2396.9,97.84209
2395.56,61.67838,2395.56,83.02686,2395.56,76.32271,2395.56,83.07723,2395.56,86.08301,2395.56,101.67046
2394.21,63.71917,2394.21,76.95387,2394.21,70.72377,2394.21,89.53672,2394.21,84.84876,2394.21,101.43415
2392.86,63.52347,2392.86,75.94579,2392.86,69.77762,2392.86,90.40794,2392.86,88.45221,2392.86,102.72481
2391.51,66.54582,2391.51,71.37189,2391.51,51.38992,2391.51,82.62276,2391.51,93.1848,2391.51,103.95743
2390.16,62.3645,2390.16,66.49078,2390.16,40.81229,2390.16,79.62866,2390.16,92.8689,2390.16,104.66092
2388.81,56.84744,2388.81,59.98492,2388.81,37.58507,2388.81,81.68932,2388.81,89.908,2388.81,102.77687
2387.46,51.47368,2387.46,66.35618,2387.46,40.56138,2387.46,72.23025,2387.46,93.13143,2387.46,92.67826
2386.11,48.6066,2386.11,66.26555,2386.11,29.36343,2386.11,72.38461,2386.11,90.2974,2386.11,88.47205
2384.76,34.67397,2384.76,68.29321,2384.76,28.90781,2384.76,69.19155,2384.76,88.53497,2384.76,81.26217
2383.41,31.39954,2383.41,65.41061,2383.41,24.98181,2383.41,66.3856,2383.41,94.40104,2383.41,75.36453
2382.06,29.84609,2382.06,70.91539,2382.06,32.8592,2382.06,68.24776,2382.06,94.36907,2382.06,69.82534
2380.71,25.77011,2380.71,75.68947,2380.71,34.79418,2380.71,70.97588,2380.71,96.81393,2380.71,72.01526
2379.36,16.29446,2379.36,82.6856,2379.36,42.73484,2379.36,67.42676,2379.36,93.46064,2379.36,64.51617
2378,10.64801,2378,88.83798,2378,45.34683,2378,66.64692,2378,91.92314,2378,66.93547
2376.65,-0.03314,2376.65,88.25433,2376.65,49.91934,2376.65,69.21803,2376.65,92.574,2376.65,63.47512
2375.3,3.58303,2375.3,84.72842,2375.3,57.38298,2375.3,66.64481,2375.3,87.92161,2375.3,64.76231
2373.95,3.80046,2373.95,84.86842,2373.95,55.8465,2373.95,65.25879,2373.95,79.74894,2373.95,71.14664
2372.6,6.55598,2372.6,87.67474,2372.6,53.11325,2372.6,60.77228,2372.6,67.40933,2372.6,73.81023
2371.24,13.21067,2371.24,95.84875,2371.24,53.45445,2371.24,59.01609,2371.24,61.12741,2371.24,83.29892
2369.89,14.95836,2369.89,99.27146,2369.89,55.47482,2369.89,57.25052,2369.89,49.82928,2369.89,85.45804
2368.54,14.86408,2368.54,93.30096,2368.54,54.7754,2368.54,56.24793,2368.54,39.008,2368.54,90.01284
2367.18,17.43821,2367.18,92.56122,2367.18,57.92794,2367.18,48.91226,2367.18,38.6041,2367.18,93.38616
2365.83,21.13122,2365.83,95.18599,2365.83,56.23674,2365.83,45.66995,2365.83,36.20549,2365.83,106.51793
2364.48,27.90538,2364.48,85.57049,2364.48,50.70708,2364.48,50.19738,2364.48,31.66909,2364.48,113.71775
2363.12,26.18429,2363.12,80.41881,2363.12,41.21623,2363.12,63.0662,2363.12,21.01781,2363.12,110.89079
2361.77,32.18495,2361.77,74.72503,2361.77,28.88721,2361.77,71.97523,2361.77,17.77983,2361.77,107.61246
2360.41,43.06673,2360.41,79.15364,2360.41,25.35579,2360.41,75.75755,2360.41,22.44721,2360.41,96.54877
2359.06,46.88019,2359.06,75.42459,2359.06,17.04792,2359.06,90.1559,2359.06,24.63055,2359.06,93.68139
2357.7,46.42034,2357.7,73.427,2357.7,20.17392,2357.7,91.87655,2357.7,31.43761,2357.7,90.75932
2356.35,49.26842,2356.35,68.5627,2356.35,17.01914,2356.35,99.5758,2356.35,40.19314,2356.35,85.31716
2354.99,44.36899,2354.99,67.89927,2354.99,14.08505,2354.99,102.75467,2354.99,40.73229,2354.99,84.81494
2353.64,41.4761,2353.64,64.36368,2353.64,15.09785,2353.64,109.97997,2353.64,46.30416,2353.64,78.78225
2352.28,36.54201,2352.28,69.47507,2352.28,16.96015,2352.28,103.34407,2352.28,49.95876,2352.28,73.05146
2350.93,34.17039,2350.93,72.3833,2350.93,12.73422,2350.93,100.71595,2350.93,53.9538,2350.93,76.75595
2349.57,29.90056,2349.57,66.73196,2349.57,10.75853,2349.57,100.01442,2349.57,63.56598,2349.57,74.1634
2348.21,34.19327,2348.21,63.52569,2348.21,9.22178,2348.21,96.54206,2348.21,62.01134,2348.21,78.99534
2346.86,32.01933,2346.86,72.09278,2346.86,6.84199,2346.86,89.68334,2346.86,63.43517,2346.86,78.42305
2345.5,31.36091,2345.5,69.88749,2345.5,6.72882,2345.5,81.63109,2345.5,60.56572,2345.5,82.12214
2344.14,34.22331,2344.14,68.31143,2344.14,9.2399,2344.14,75.04565,2344.14,68.19404,2344.14,88.94083
2342.78,30.81812,2342.78,72.49828,2342.78,18.89581,2342.78,68.4645,2342.78,71.16821,2342.78,92.13981
2341.42,25.77337,2341.42,64.02264,2341.42,25.97875,2341.42,66.40885,2341.42,73.73886,2341.42,96.15484
2340.07,27.40612,2340.07,62.93187,2340.07,30.66297,2340.07,67.02492,2340.07,76.29438,2340.07,101.14505
2338.71,27.98479,2338.71,61.84722,2338.71,33.14719,2338.71,76.191,2338.71,73.53864,2338.71,105.91364
2337.35,28.1629,2337.35,54.41166,2337.35,33.79766,2337.35,80.98371,2337.35,71.2233,2337.35,110.20951
2335.99,28.46906,2335.99,51.12424,2335.99,27.76327,2335.99,90.07371,2335.99,71.08124,2335.99,106.59498
2334.63,35.45756,2334.63,55.76275,2334.63,29.58303,2334.63,84.87745,2334.63,71.0985,2334.63,113.30818
2333.27,38.10505,2333.27,62.97386,2333.27,38.75117,2333.27,87.62267,2333.27,70.81305,2333.27,109.0299
2331.91,33.92914,2331.91,62.16752,2331.91,40.57054,2331.91,85.50724,2331.91,74.13365,2331.91,112.68618
2330.55,35.75697,2330.55,57.35836,2330.55,41.64505,2330.55,79.41907,2330.55,75.76458,2330.55,111.67033
2329.19,39.05381,2329.19,61.74305,2329.19,40.43774,2329.19,83.83659,2329.19,76.3549,2329.19,111.77049
2327.83,43.85232,2327.83,70.64888,2327.83,38.95326,2327.83,79.31195,2327.83,77.16974,2327.83,108.84225
2326.47,43.25883,2326.47,71.87128,2326.47,40.91118,2326.47,81.42043,2326.47,78.08372,2326.47,110.58716
2325.11,51.37602,2325.11,79.09616,2325.11,40.58458,2325.11,73.86518,2325.11,73.37627,2325.11,111.75259
2323.75,51.27223,2323.75,76.72041,2323.75,31.43116,2323.75,69.56519,2323.75,65.79659,2323.75,106.20387
2322.39,48.63809,2322.39,74.57758,2322.39,33.69657,2322.39,63.16997,2322.39,69.434,2322.39,105.47309
2321.03,53.8733,2321.03,75.05997,2321.03,35.72927,2321.03,63.14343,2321.03,56.02382,2321.03,101.18394
2319.67,53.26791,2319.67,79.57607,2319.67,40.08906,2319.67,50.80673,2319.67,52.38362,2319.67,98.15678
2318.3,54.95035,2318.3,69.63404,2318.3,37.08249,2318.3,47.88603,2318.3,47.16095,2318.3,101.34983
2316.94,50.48446,2316.94,64.446,2316.94,35.64928,2316.94,50.57198,2316.94,45.94447,2316.94,102.86116
2315.58,38.90021,2315.58,65.26306,2315.58,42.26429,2315.58,55.91257,2315.58,39.98489,2315.58,98.57994
2314.22,29.72768,2314.22,57.71521,2314.22,41.98564,2314.22,61.2177,2314.22,35.10523,2314.22,105.447
2312.85,34.99674,2312.85,51.68095,2312.85,45.06298,2312.85,66.11724,2312.85,31.24938,2312.85,100.15212
2311.49,29.04037,2311.49,50.30044,2311.49,40.32468,2311.49,66.88087,2311.49,36.44756,2311.49,102.7841
2310.13,21.91151,2310.13,39.92441,2310.13,30.27965,2310.13,71.9727,2310.13,38.92671,2310.13,98.38936
2308.76,13.57933,2308.76,35.77495,2308.76,22.86701,2308.76,73.9499,2308.76,34.90302,2308.76,93.30192
2307.4,4.15516,2307.4,39.48567,2307.4,22.89685,2307.4,71.25698,2307.4,31.17224,2307.4,85.66691
2306.04,2.15421,2306.04,38.41131,2306.04,16.80315,2306.04,78.59614,2306.04,27.4236,2306.04,72.8238
2304.67,6.2648,2304.67,33.9872,2304.67,15.28107,2304.67,79.19199,2304.67,28.22097,2304.67,74.54156
2303.31,7.3785,2303.31,32.56306,2303.31,12.82447,2303.31,75.00899,2303.31,27.20722,2303.31,65.23499
2301.94,2.92622,2301.94,31.44951,2301.94,15.48566,2301.94,73.26786,2301.94,20.40786,2301.94,55.99065
2300.58,4.86727,2300.58,29.92195,2300.58,12.98374,2300.58,72.12112,2300.58,23.25395,2300.58,45.61538
2299.21,4.8694,2299.21,28.87836,2299.21,10.92693,2299.21,70.91363,2299.21,17.2799,2299.21,43.29302
2297.85,10.57559,2297.85,36.5865,2297.85,13.97046,2297.85,68.48083,2297.85,9.45113,2297.85,30.63047
2296.48,10.92523,2296.48,40.3736,2296.48,10.14536,2296.48,68.71721,2296.48,4.6988,2296.48,23.47086
2295.11,8.83876,2295.11,39.55765,2295.11,10.80322,2295.11,59.99702,2295.11,8.41977,2295.11,21.7473
2293.75,11.67192,2293.75,43.73056,2293.75,13.33903,2293.75,60.58681,2293.75,4.09706,2293.75,14.28423
2292.38,6.73882,2292.38,41.74496,2292.38,12.72054,2292.38,48.37183,2292.38,5.23337,2292.38,10.62151
2291.01,7.54754,2291.01,35.91932,2291.01,7.53514,2291.01,46.76409,2291.01,0.71903,2291.01,12.13194
2289.65,-1.41038,2289.65,43.47242,2289.65,9.50943,2289.65,47.35608,2289.65,0.95537,2289.65,14.48955
2288.28,-1.76927,2288.28,45.95609,2288.28,9.21471,2288.28,42.52981,2288.28,3.99914,2288.28,13.39574
2286.91,-2.55032,2286.91,46.47344,2286.91,15.96926,2286.91,33.82242,2286.91,12.06869,2286.91,17.92028
2285.55,-3.129,2285.55,39.5672,2285.55,11.43967,2285.55,34.31732,2285.55,24.08279,2285.55,12.62743
2284.18,-10.53175,2284.18,38.51919,2284.18,0.90738,2284.18,28.47734,2284.18,33.70946,2284.18,16.52073
2282.81,-18.8119,2282.81,28.17213,2282.81,-4.99606,2282.81,23.2141,2282.81,29.51366,2282.81,18.3487
2281.44,-23.91328,2281.44,25.44434,2281.44,-9.27999,2281.44,22.23392,2281.44,28.83426,2281.44,18.35898
2280.07,-20.34247,2280.07,24.30899,2280.07,-6.49568,2280.07,19.01389,2280.07,28.19773,2280.07,14.07076
2278.7,-12.05147,2278.7,20.39312,2278.7,-4.16766,2278.7,13.87647,2278.7,24.09448,2278.7,15.35546
2277.33,-8.4143,2277.33,14.56022,2277.33,3.11297,2277.33,12.25172,2277.33,19.66177,2277.33,22.07835
2275.96,-8.32196,2275.96,7.81276,2275.96,5.94546,2275.96,3.58803,2275.96,16.17179,2275.96,14.16727
2274.59,-7.36413,2274.59,-4.80503,2274.59,1.45599,2274.59,7.07132,2274.59,4.82229,2274.59,2.61454
2273.22,-0.20114,2273.22,-0.19429,2273.22,0.25163,2273.22,-0.26478,2273.22,0.49181,2273.22,0.25981
2271.85,2.06749,2271.85,1.8539,2271.85,-2.2253,2271.85,2.23888,2271.85,-4.16318,2271.85,-2.04315
2270.48,3.92174,2270.48,5.02731,2270.48,-3.98846,2270.48,10.77574,2270.48,-6.13752,2270.48,-12.36327
2269.11,11.50116,2269.11,0.33395,2269.11,-0.53684,2269.11,21.77785,2269.11,-4.67644,2269.11,-15.46582
2267.74,2.90971,2267.74,-3.30206,2267.74,-6.66712,2267.74,18.58727,2267.74,-3.34494,2267.74,-19.59587
2266.37,8.44242,2266.37,0.83325,2266.37,-1.87662,2266.37,20.62114,2266.37,-11.96603,2266.37,-23.84898
2265,5.82654,2265,-3.24502,2265,-3.72838,2265,17.26572,2265,-16.11958,2265,-19.81712
2263.63,4.25715,2263.63,0.99559,2263.63,-2.76028,2263.63,19.12709,2263.63,-16.68175,2263.63,-18.5096
2262.26,-1.09381,2262.26,6.46543,2262.26,1.66132,2262.26,17.58089,2262.26,-13.69733,2262.26,-28.80185
2260.88,-5.18866,2260.88,5.24993,2260.88,3.93358,2260.88,11.08303,2260.88,-12.99086,2260.88,-29.81107
2259.51,-17.85847,2259.51,8.91356,2259.51,4.24366,2259.51,11.60454,2259.51,-5.3929,2259.51,-23.11783
2258.14,-23.57089,2258.14,1.40581,2258.14,-3.7697,2258.14,18.3105,2258.14,0.15671,2258.14,-18.38358
2256.77,-29.50395,2256.77,1.02008,2256.77,-7.11552,2256.77,18.2128,2256.77,4.86328,2256.77,-12.60127
